,Game ID,Team,Away or Home,Score,Rank,Date,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,3 Pointers Made,3 Pointers Attempted,Free Throws Made,Free Throws Attempted,Field Goals Made,Field Goals Attempted,FG%,FT%,TP%,Off Score,Winner
74,6290192,Belmont,1,62.0,5,03/08/2024,37,5,32,10,9,3,12,20,1.0,-5.0,8.0,27.0,8.0,14.0,23.0,61.0,0.3770491803278688,0.5714285714285714,0.2962962962962963,67.0,0
75,6290192,Northern Iowa,1,67.0,4,03/08/2024,46,12,34,12,7,5,11,15,-1.0,5.0,4.0,18.0,21.0,29.0,21.0,63.0,0.3333333333333333,0.7241379310344828,0.2222222222222222,62.0,1
76,6290089,Hampton,1,56.0,14,03/08/2024,38,9,29,15,5,4,12,19,3.0,1.0,4.0,17.0,8.0,9.0,22.0,59.0,0.3728813559322034,0.8888888888888888,0.2352941176470588,55.0,1
77,6290089,Elon,1,55.0,11,03/08/2024,41,14,27,9,8,3,13,12,-3.0,-1.0,6.0,27.0,11.0,21.0,19.0,56.0,0.3392857142857143,0.5238095238095238,0.2222222222222222,56.0,0
78,6290097,The Citadel,1,76.0,9,03/08/2024,31,11,20,11,3,3,10,16,1.0,-8.0,5.0,17.0,13.0,23.0,29.0,63.0,0.4603174603174603,0.5652173913043478,0.2941176470588235,84.0,0
79,6290097,Mercer,1,84.0,8,03/08/2024,35,6,29,14,7,7,9,18,-1.0,8.0,8.0,15.0,16.0,26.0,30.0,53.0,0.5660377358490566,0.6153846153846154,0.5333333333333333,76.0,1
80,6289983,Charleston So.,1,55.0,7,03/08/2024,45,11,34,11,3,5,14,18,5.0,-5.0,6.0,20.0,11.0,18.0,19.0,55.0,0.3454545454545454,0.6111111111111112,0.3,60.0,0
81,6289983,UNC Asheville,1,60.0,2,03/08/2024,36,7,29,16,3,2,5,15,-5.0,5.0,7.0,25.0,9.0,13.0,22.0,60.0,0.3666666666666666,0.6923076923076923,0.28,55.0,1
82,6290193,Evansville,1,58.0,10,03/08/2024,31,3,28,8,5,3,12,18,8.0,-21.0,4.0,16.0,8.0,12.0,23.0,55.0,0.4181818181818181,0.6666666666666666,0.25,79.0,0
83,6290193,Drake,1,79.0,2,03/08/2024,37,9,28,18,7,1,7,13,-8.0,21.0,9.0,29.0,18.0,22.0,26.0,62.0,0.4193548387096774,0.8181818181818182,0.3103448275862069,58.0,1
84,6289848,Western Illinois,1,57.0,4,03/08/2024,40,19,21,12,7,5,13,12,3.0,-25.0,6.0,27.0,11.0,18.0,20.0,67.0,0.2985074626865671,0.6111111111111112,0.2222222222222222,82.0,0
85,6289848,Little Rock,1,82.0,1,03/08/2024,40,10,30,20,8,8,7,17,-3.0,25.0,4.0,11.0,10.0,12.0,34.0,64.0,0.53125,0.8333333333333334,0.3636363636363636,57.0,1
86,6289984,Presbyterian,1,60.0,6,03/08/2024,37,11,26,12,8,2,13,10,3.0,-1.0,5.0,17.0,7.0,10.0,24.0,61.0,0.3934426229508196,0.7,0.2941176470588235,61.0,0
87,6289984,Gardner-Webb,1,61.0,3,03/08/2024,33,6,27,14,7,7,14,13,-3.0,1.0,8.0,16.0,9.0,15.0,22.0,51.0,0.4313725490196078,0.6,0.5,60.0,1
88,6290462,South Dakota,1,62.0,9,03/08/2024,29,5,24,13,1,3,9,14,1.0,-15.0,9.0,24.0,9.0,14.0,22.0,54.0,0.4074074074074074,0.6428571428571429,0.375,77.0,0
89,6290462,Oral Roberts,1,77.0,8,03/08/2024,36,8,28,12,6,2,6,15,-1.0,15.0,10.0,26.0,13.0,15.0,27.0,59.0,0.4576271186440678,0.8666666666666667,0.3846153846153846,62.0,1
90,6290185,Pepperdine,1,52.0,8,03/08/2024,36,11,25,12,4,6,18,17,3.0,-5.0,5.0,16.0,13.0,17.0,17.0,48.0,0.3541666666666667,0.7647058823529411,0.3125,57.0,0
91,6290185,San Diego,1,57.0,5,03/08/2024,40,16,24,11,12,2,14,20,-3.0,5.0,8.0,19.0,15.0,23.0,17.0,55.0,0.3090909090909091,0.6521739130434783,0.4210526315789473,52.0,1
92,6290194,Illinois-Chicago,1,47.0,11,03/08/2024,28,8,20,7,12,3,10,15,8.0,-27.0,3.0,24.0,18.0,25.0,13.0,54.0,0.2407407407407407,0.72,0.125,74.0,0
93,6290194,Bradley,1,74.0,3,03/08/2024,47,9,38,17,7,6,17,19,-8.0,27.0,12.0,23.0,6.0,14.0,28.0,53.0,0.5283018867924528,0.4285714285714285,0.5217391304347826,47.0,1
94,6289849,Morehead St.,1,84.0,3,03/08/2024,45,15,30,20,5,3,12,14,1.0,6.0,16.0,35.0,8.0,15.0,30.0,70.0,0.4285714285714285,0.5333333333333333,0.4571428571428571,78.0,1
95,6289849,UT Martin,1,78.0,2,03/08/2024,38,9,29,6,7,7,10,14,-1.0,-6.0,6.0,24.0,18.0,21.0,27.0,65.0,0.4153846153846154,0.8571428571428571,0.25,84.0,0
96,6290186,LMU,1,70.0,7,03/08/2024,29,10,19,14,6,4,6,15,1.0,-8.0,7.0,21.0,5.0,5.0,29.0,61.0,0.4754098360655737,1.0,0.3333333333333333,78.0,0
97,6290186,Portland,1,78.0,6,03/08/2024,33,11,22,14,4,1,9,6,-1.0,8.0,14.0,29.0,14.0,18.0,25.0,52.0,0.4807692307692308,0.7777777777777778,0.4827586206896552,70.0,1
98,6289979,Longwood,1,80.0,5,03/09/2024,40,13,27,16,4,4,14,22,4.0,1.0,8.0,15.0,20.0,28.0,26.0,59.0,0.4406779661016949,0.7142857142857143,0.5333333333333333,79.0,1
99,6289979,High Point,1,79.0,1,03/09/2024,35,14,21,10,5,2,12,21,-4.0,-1.0,11.0,33.0,20.0,27.0,24.0,61.0,0.3934426229508196,0.7407407407407407,0.3333333333333333,80.0,0
100,6290084,Campbell,1,67.0,9,03/09/2024,21,5,16,10,7,2,13,13,1.0,-23.0,8.0,21.0,21.0,28.0,19.0,43.0,0.4418604651162791,0.75,0.3809523809523809,90.0,0
